"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","data","hasCabin","segment_age","title","FamilySize"
1,"0",3,"male",22,1,0,"A/5 21171",7.25,"","S","train","0","jove","Mr",2
2,"1",1,"female",38,1,0,"PC 17599",71.2833,"C85","C","train","1","adult","Mrs",2
3,"1",3,"female",26,0,0,"STON/O2. 3101282",7.925,"","S","train","0","jove","Miss",1
4,"1",1,"female",35,1,0,"113803",53.1,"C123","S","train","1","adult","Mrs",2
5,"0",3,"male",35,0,0,"373450",8.05,"","S","train","0","adult","Mr",1
6,"0",3,"male",28,0,0,"330877",8.4583,"","Q","train","0","jove","Mr",1
7,"0",1,"male",54,0,0,"17463",51.8625,"E46","S","train","1","gran","Mr",1
8,"0",3,"male",2,3,1,"349909",21.075,"","S","train","0","nen","Master",5
9,"1",3,"female",27,0,2,"347742",11.1333,"","S","train","0","jove","Mrs",3
10,"1",2,"female",14,1,0,"237736",30.0708,"","C","train","0","nen","Mrs",2
11,"1",3,"female",4,1,1,"PP 9549",16.7,"G6","S","train","1","nen","Miss",3
12,"1",1,"female",58,0,0,"113783",26.55,"C103","S","train","1","gran","Miss",1
13,"0",3,"male",20,0,0,"A/5. 2151",8.05,"","S","train","0","jove","Mr",1
14,"0",3,"male",39,1,5,"347082",31.275,"","S","train","0","adult","Mr",7
15,"0",3,"female",14,0,0,"350406",7.8542,"","S","train","0","nen","Miss",1
16,"1",2,"female",55,0,0,"248706",16,"","S","train","0","gran","Mrs",1
17,"0",3,"male",2,4,1,"382652",29.125,"","Q","train","0","nen","Master",6
18,"1",2,"male",28,0,0,"244373",13,"","S","train","0","jove","Mr",1
19,"0",3,"female",31,1,0,"345763",18,"","S","train","0","adult","Mrs",2
20,"1",3,"female",28,0,0,"2649",7.225,"","C","train","0","jove","Mrs",1
21,"0",2,"male",35,0,0,"239865",26,"","S","train","0","adult","Mr",1
22,"1",2,"male",34,0,0,"248698",13,"D56","S","train","1","adult","Mr",1
23,"1",3,"female",15,0,0,"330923",8.0292,"","Q","train","0","nen","Miss",1
24,"1",1,"male",28,0,0,"113788",35.5,"A6","S","train","1","jove","Mr",1
25,"0",3,"female",8,3,1,"349909",21.075,"","S","train","0","nen","Miss",5
26,"1",3,"female",38,1,5,"347077",31.3875,"","S","train","0","adult","Mrs",7
27,"0",3,"male",28,0,0,"2631",7.225,"","C","train","0","jove","Mr",1
28,"0",1,"male",19,3,2,"19950",263,"C23 C25 C27","S","train","1","nen","Mr",6
29,"1",3,"female",28,0,0,"330959",7.8792,"","Q","train","0","jove","Miss",1
30,"0",3,"male",28,0,0,"349216",7.8958,"","S","train","0","jove","Mr",1
31,"0",1,"male",40,0,0,"PC 17601",27.7208,"","C","train","0","adult-gran","Mr",1
32,"1",1,"female",28,1,0,"PC 17569",146.5208,"B78","C","train","1","jove","Mrs",2
33,"1",3,"female",28,0,0,"335677",7.75,"","Q","train","0","jove","Miss",1
34,"0",2,"male",66,0,0,"C.A. 24579",10.5,"","S","train","0","gran","Mr",1
35,"0",1,"male",28,1,0,"PC 17604",82.1708,"","C","train","0","jove","Mr",2
36,"0",1,"male",42,1,0,"113789",52,"","S","train","0","adult-gran","Mr",2
37,"1",3,"male",28,0,0,"2677",7.2292,"","C","train","0","jove","Mr",1
38,"0",3,"male",21,0,0,"A./5. 2152",8.05,"","S","train","0","jove","Mr",1
39,"0",3,"female",18,2,0,"345764",18,"","S","train","0","nen","Miss",3
40,"1",3,"female",14,1,0,"2651",11.2417,"","C","train","0","nen","Miss",2
41,"0",3,"female",40,1,0,"7546",9.475,"","S","train","0","adult-gran","Mrs",2
42,"0",2,"female",27,1,0,"11668",21,"","S","train","0","jove","Mrs",2
43,"0",3,"male",28,0,0,"349253",7.8958,"","C","train","0","jove","Mr",1
44,"1",2,"female",3,1,2,"SC/Paris 2123",41.5792,"","C","train","0","nen","Miss",4
45,"1",3,"female",19,0,0,"330958",7.8792,"","Q","train","0","nen","Miss",1
46,"0",3,"male",28,0,0,"S.C./A.4. 23567",8.05,"","S","train","0","jove","Mr",1
47,"0",3,"male",28,1,0,"370371",15.5,"","Q","train","0","jove","Mr",2
48,"1",3,"female",28,0,0,"14311",7.75,"","Q","train","0","jove","Miss",1
49,"0",3,"male",28,2,0,"2662",21.6792,"","C","train","0","jove","Mr",3
50,"0",3,"female",18,1,0,"349237",17.8,"","S","train","0","nen","Mrs",2
51,"0",3,"male",7,4,1,"3101295",39.6875,"","S","train","0","nen","Master",6
52,"0",3,"male",21,0,0,"A/4. 39886",7.8,"","S","train","0","jove","Mr",1
53,"1",1,"female",49,1,0,"PC 17572",76.7292,"D33","C","train","1","adult-gran","Mrs",2
54,"1",2,"female",29,1,0,"2926",26,"","S","train","0","jove","Mrs",2
55,"0",1,"male",65,0,1,"113509",61.9792,"B30","C","train","1","gran","Mr",2
56,"1",1,"male",28,0,0,"19947",35.5,"C52","S","train","1","jove","Mr",1
57,"1",2,"female",21,0,0,"C.A. 31026",10.5,"","S","train","0","jove","Miss",1
58,"0",3,"male",28.5,0,0,"2697",7.2292,"","C","train","0","jove","Mr",1
59,"1",2,"female",5,1,2,"C.A. 34651",27.75,"","S","train","0","nen","Miss",4
60,"0",3,"male",11,5,2,"CA 2144",46.9,"","S","train","0","nen","Master",8
61,"0",3,"male",22,0,0,"2669",7.2292,"","C","train","0","jove","Mr",1
62,"1",1,"female",38,0,0,"113572",80,"B28","S","train","1","adult","Miss",1
63,"0",1,"male",45,1,0,"36973",83.475,"C83","S","train","1","adult-gran","Mr",2
64,"0",3,"male",4,3,2,"347088",27.9,"","S","train","0","nen","Master",6
65,"0",1,"male",28,0,0,"PC 17605",27.7208,"","C","train","0","jove","Mr",1
66,"1",3,"male",28,1,1,"2661",15.2458,"","C","train","0","jove","Master",3
67,"1",2,"female",29,0,0,"C.A. 29395",10.5,"F33","S","train","1","jove","Mrs",1
68,"0",3,"male",19,0,0,"S.P. 3464",8.1583,"","S","train","0","nen","Mr",1
69,"1",3,"female",17,4,2,"3101281",7.925,"","S","train","0","nen","Miss",7
70,"0",3,"male",26,2,0,"315151",8.6625,"","S","train","0","jove","Mr",3
71,"0",2,"male",32,0,0,"C.A. 33111",10.5,"","S","train","0","adult","Mr",1
72,"0",3,"female",16,5,2,"CA 2144",46.9,"","S","train","0","nen","Miss",8
73,"0",2,"male",21,0,0,"S.O.C. 14879",73.5,"","S","train","0","jove","Mr",1
74,"0",3,"male",26,1,0,"2680",14.4542,"","C","train","0","jove","Mr",2
75,"1",3,"male",32,0,0,"1601",56.4958,"","S","train","0","adult","Mr",1
76,"0",3,"male",25,0,0,"348123",7.65,"F G73","S","train","1","jove","Mr",1
77,"0",3,"male",28,0,0,"349208",7.8958,"","S","train","0","jove","Mr",1
78,"0",3,"male",28,0,0,"374746",8.05,"","S","train","0","jove","Mr",1
79,"1",2,"male",0.83,0,2,"248738",29,"","S","train","0","nen","Master",3
80,"1",3,"female",30,0,0,"364516",12.475,"","S","train","0","jove","Miss",1
81,"0",3,"male",22,0,0,"345767",9,"","S","train","0","jove","Mr",1
82,"1",3,"male",29,0,0,"345779",9.5,"","S","train","0","jove","Mr",1
83,"1",3,"female",28,0,0,"330932",7.7875,"","Q","train","0","jove","Miss",1
84,"0",1,"male",28,0,0,"113059",47.1,"","S","train","0","jove","Mr",1
85,"1",2,"female",17,0,0,"SO/C 14885",10.5,"","S","train","0","nen","Miss",1
86,"1",3,"female",33,3,0,"3101278",15.85,"","S","train","0","adult","Mrs",4
87,"0",3,"male",16,1,3,"W./C. 6608",34.375,"","S","train","0","nen","Mr",5
88,"0",3,"male",28,0,0,"SOTON/OQ 392086",8.05,"","S","train","0","jove","Mr",1
89,"1",1,"female",23,3,2,"19950",263,"C23 C25 C27","S","train","1","jove","Miss",6
90,"0",3,"male",24,0,0,"343275",8.05,"","S","train","0","jove","Mr",1
91,"0",3,"male",29,0,0,"343276",8.05,"","S","train","0","jove","Mr",1
92,"0",3,"male",20,0,0,"347466",7.8542,"","S","train","0","jove","Mr",1
93,"0",1,"male",46,1,0,"W.E.P. 5734",61.175,"E31","S","train","1","adult-gran","Mr",2
94,"0",3,"male",26,1,2,"C.A. 2315",20.575,"","S","train","0","jove","Mr",4
95,"0",3,"male",59,0,0,"364500",7.25,"","S","train","0","gran","Mr",1
96,"0",3,"male",28,0,0,"374910",8.05,"","S","train","0","jove","Mr",1
97,"0",1,"male",71,0,0,"PC 17754",34.6542,"A5","C","train","1","gran","Mr",1
98,"1",1,"male",23,0,1,"PC 17759",63.3583,"D10 D12","C","train","1","jove","Mr",2
99,"1",2,"female",34,0,1,"231919",23,"","S","train","0","adult","Mrs",2
100,"0",2,"male",34,1,0,"244367",26,"","S","train","0","adult","Mr",2
101,"0",3,"female",28,0,0,"349245",7.8958,"","S","train","0","jove","Miss",1
102,"0",3,"male",28,0,0,"349215",7.8958,"","S","train","0","jove","Mr",1
103,"0",1,"male",21,0,1,"35281",77.2875,"D26","S","train","1","jove","Mr",2
104,"0",3,"male",33,0,0,"7540",8.6542,"","S","train","0","adult","Mr",1
105,"0",3,"male",37,2,0,"3101276",7.925,"","S","train","0","adult","Mr",3
106,"0",3,"male",28,0,0,"349207",7.8958,"","S","train","0","jove","Mr",1
107,"1",3,"female",21,0,0,"343120",7.65,"","S","train","0","jove","Miss",1
108,"1",3,"male",28,0,0,"312991",7.775,"","S","train","0","jove","Mr",1
109,"0",3,"male",38,0,0,"349249",7.8958,"","S","train","0","adult","Mr",1
110,"1",3,"female",28,1,0,"371110",24.15,"","Q","train","0","jove","Miss",2
111,"0",1,"male",47,0,0,"110465",52,"C110","S","train","1","adult-gran","Mr",1
112,"0",3,"female",14.5,1,0,"2665",14.4542,"","C","train","0","nen","Miss",2
113,"0",3,"male",22,0,0,"324669",8.05,"","S","train","0","jove","Mr",1
114,"0",3,"female",20,1,0,"4136",9.825,"","S","train","0","jove","Miss",2
115,"0",3,"female",17,0,0,"2627",14.4583,"","C","train","0","nen","Miss",1
116,"0",3,"male",21,0,0,"STON/O 2. 3101294",7.925,"","S","train","0","jove","Mr",1
117,"0",3,"male",70.5,0,0,"370369",7.75,"","Q","train","0","gran","Mr",1
118,"0",2,"male",29,1,0,"11668",21,"","S","train","0","jove","Mr",2
119,"0",1,"male",24,0,1,"PC 17558",247.5208,"B58 B60","C","train","1","jove","Mr",2
120,"0",3,"female",2,4,2,"347082",31.275,"","S","train","0","nen","Miss",7
121,"0",2,"male",21,2,0,"S.O.C. 14879",73.5,"","S","train","0","jove","Mr",3
122,"0",3,"male",28,0,0,"A4. 54510",8.05,"","S","train","0","jove","Mr",1
123,"0",2,"male",32.5,1,0,"237736",30.0708,"","C","train","0","adult","Mr",2
124,"1",2,"female",32.5,0,0,"27267",13,"E101","S","train","1","adult","Miss",1
125,"0",1,"male",54,0,1,"35281",77.2875,"D26","S","train","1","gran","Mr",2
126,"1",3,"male",12,1,0,"2651",11.2417,"","C","train","0","nen","Master",2
127,"0",3,"male",28,0,0,"370372",7.75,"","Q","train","0","jove","Mr",1
128,"1",3,"male",24,0,0,"C 17369",7.1417,"","S","train","0","jove","Mr",1
129,"1",3,"female",28,1,1,"2668",22.3583,"F E69","C","train","1","jove","Miss",3
130,"0",3,"male",45,0,0,"347061",6.975,"","S","train","0","adult-gran","Mr",1
131,"0",3,"male",33,0,0,"349241",7.8958,"","C","train","0","adult","Mr",1
132,"0",3,"male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S","train","0","jove","Mr",1
133,"0",3,"female",47,1,0,"A/5. 3337",14.5,"","S","train","0","adult-gran","Mrs",2
134,"1",2,"female",29,1,0,"228414",26,"","S","train","0","jove","Mrs",2
135,"0",2,"male",25,0,0,"C.A. 29178",13,"","S","train","0","jove","Mr",1
136,"0",2,"male",23,0,0,"SC/PARIS 2133",15.0458,"","C","train","0","jove","Mr",1
137,"1",1,"female",19,0,2,"11752",26.2833,"D47","S","train","1","nen","Miss",3
138,"0",1,"male",37,1,0,"113803",53.1,"C123","S","train","1","adult","Mr",2
139,"0",3,"male",16,0,0,"7534",9.2167,"","S","train","0","nen","Mr",1
140,"0",1,"male",24,0,0,"PC 17593",79.2,"B86","C","train","1","jove","Mr",1
141,"0",3,"female",28,0,2,"2678",15.2458,"","C","train","0","jove","Mrs",3
142,"1",3,"female",22,0,0,"347081",7.75,"","S","train","0","jove","Miss",1
143,"1",3,"female",24,1,0,"STON/O2. 3101279",15.85,"","S","train","0","jove","Mrs",2
144,"0",3,"male",19,0,0,"365222",6.75,"","Q","train","0","nen","Mr",1
145,"0",2,"male",18,0,0,"231945",11.5,"","S","train","0","nen","Mr",1
146,"0",2,"male",19,1,1,"C.A. 33112",36.75,"","S","train","0","nen","Mr",3
147,"1",3,"male",27,0,0,"350043",7.7958,"","S","train","0","jove","Mr",1
148,"0",3,"female",9,2,2,"W./C. 6608",34.375,"","S","train","0","nen","Miss",5
149,"0",2,"male",36.5,0,2,"230080",26,"F2","S","train","1","adult","Mr",3
150,"0",2,"male",42,0,0,"244310",13,"","S","train","0","adult-gran","Special",1
151,"0",2,"male",51,0,0,"S.O.P. 1166",12.525,"","S","train","0","adult-gran","Special",1
152,"1",1,"female",22,1,0,"113776",66.6,"C2","S","train","1","jove","Mrs",2
153,"0",3,"male",55.5,0,0,"A.5. 11206",8.05,"","S","train","0","gran","Mr",1
154,"0",3,"male",40.5,0,2,"A/5. 851",14.5,"","S","train","0","adult-gran","Mr",3
155,"0",3,"male",28,0,0,"Fa 265302",7.3125,"","S","train","0","jove","Mr",1
156,"0",1,"male",51,0,1,"PC 17597",61.3792,"","C","train","0","adult-gran","Mr",2
157,"1",3,"female",16,0,0,"35851",7.7333,"","Q","train","0","nen","Miss",1
158,"0",3,"male",30,0,0,"SOTON/OQ 392090",8.05,"","S","train","0","jove","Mr",1
159,"0",3,"male",28,0,0,"315037",8.6625,"","S","train","0","jove","Mr",1
160,"0",3,"male",28,8,2,"CA. 2343",69.55,"","S","train","0","jove","Master",11
161,"0",3,"male",44,0,1,"371362",16.1,"","S","train","0","adult-gran","Mr",2
162,"1",2,"female",40,0,0,"C.A. 33595",15.75,"","S","train","0","adult-gran","Mrs",1
163,"0",3,"male",26,0,0,"347068",7.775,"","S","train","0","jove","Mr",1
164,"0",3,"male",17,0,0,"315093",8.6625,"","S","train","0","nen","Mr",1
165,"0",3,"male",1,4,1,"3101295",39.6875,"","S","train","0","nen","Master",6
166,"1",3,"male",9,0,2,"363291",20.525,"","S","train","0","nen","Master",3
167,"1",1,"female",28,0,1,"113505",55,"E33","S","train","1","jove","Mrs",2
168,"0",3,"female",45,1,4,"347088",27.9,"","S","train","0","adult-gran","Mrs",6
169,"0",1,"male",28,0,0,"PC 17318",25.925,"","S","train","0","jove","Mr",1
170,"0",3,"male",28,0,0,"1601",56.4958,"","S","train","0","jove","Mr",1
171,"0",1,"male",61,0,0,"111240",33.5,"B19","S","train","1","gran","Mr",1
172,"0",3,"male",4,4,1,"382652",29.125,"","Q","train","0","nen","Master",6
173,"1",3,"female",1,1,1,"347742",11.1333,"","S","train","0","nen","Miss",3
174,"0",3,"male",21,0,0,"STON/O 2. 3101280",7.925,"","S","train","0","jove","Mr",1
175,"0",1,"male",56,0,0,"17764",30.6958,"A7","C","train","1","gran","Mr",1
176,"0",3,"male",18,1,1,"350404",7.8542,"","S","train","0","nen","Mr",3
177,"0",3,"male",28,3,1,"4133",25.4667,"","S","train","0","jove","Master",5
178,"0",1,"female",50,0,0,"PC 17595",28.7125,"C49","C","train","1","adult-gran","Miss",1
179,"0",2,"male",30,0,0,"250653",13,"","S","train","0","jove","Mr",1
180,"0",3,"male",36,0,0,"LINE",0,"","S","train","0","adult","Mr",1
181,"0",3,"female",28,8,2,"CA. 2343",69.55,"","S","train","0","jove","Miss",11
182,"0",2,"male",28,0,0,"SC/PARIS 2131",15.05,"","C","train","0","jove","Mr",1
183,"0",3,"male",9,4,2,"347077",31.3875,"","S","train","0","nen","Master",7
184,"1",2,"male",1,2,1,"230136",39,"F4","S","train","1","nen","Master",4
185,"1",3,"female",4,0,2,"315153",22.025,"","S","train","0","nen","Miss",3
186,"0",1,"male",28,0,0,"113767",50,"A32","S","train","1","jove","Mr",1
187,"1",3,"female",28,1,0,"370365",15.5,"","Q","train","0","jove","Mrs",2
188,"1",1,"male",45,0,0,"111428",26.55,"","S","train","0","adult-gran","Mr",1
189,"0",3,"male",40,1,1,"364849",15.5,"","Q","train","0","adult-gran","Mr",3
190,"0",3,"male",36,0,0,"349247",7.8958,"","S","train","0","adult","Mr",1
191,"1",2,"female",32,0,0,"234604",13,"","S","train","0","adult","Mrs",1
192,"0",2,"male",19,0,0,"28424",13,"","S","train","0","nen","Mr",1
193,"1",3,"female",19,1,0,"350046",7.8542,"","S","train","0","nen","Miss",2
194,"1",2,"male",3,1,1,"230080",26,"F2","S","train","1","nen","Master",3
195,"1",1,"female",44,0,0,"PC 17610",27.7208,"B4","C","train","1","adult-gran","Mrs",1
196,"1",1,"female",58,0,0,"PC 17569",146.5208,"B80","C","train","1","gran","Miss",1
197,"0",3,"male",28,0,0,"368703",7.75,"","Q","train","0","jove","Mr",1
198,"0",3,"male",42,0,1,"4579",8.4042,"","S","train","0","adult-gran","Mr",2
199,"1",3,"female",28,0,0,"370370",7.75,"","Q","train","0","jove","Miss",1
200,"0",2,"female",24,0,0,"248747",13,"","S","train","0","jove","Miss",1
201,"0",3,"male",28,0,0,"345770",9.5,"","S","train","0","jove","Mr",1
202,"0",3,"male",28,8,2,"CA. 2343",69.55,"","S","train","0","jove","Mr",11
203,"0",3,"male",34,0,0,"3101264",6.4958,"","S","train","0","adult","Mr",1
204,"0",3,"male",45.5,0,0,"2628",7.225,"","C","train","0","adult-gran","Mr",1
205,"1",3,"male",18,0,0,"A/5 3540",8.05,"","S","train","0","nen","Mr",1
206,"0",3,"female",2,0,1,"347054",10.4625,"G6","S","train","1","nen","Miss",2
207,"0",3,"male",32,1,0,"3101278",15.85,"","S","train","0","adult","Mr",2
208,"1",3,"male",26,0,0,"2699",18.7875,"","C","train","0","jove","Mr",1
209,"1",3,"female",16,0,0,"367231",7.75,"","Q","train","0","nen","Miss",1
210,"1",1,"male",40,0,0,"112277",31,"A31","C","train","1","adult-gran","Mr",1
211,"0",3,"male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S","train","0","jove","Mr",1
212,"1",2,"female",35,0,0,"F.C.C. 13528",21,"","S","train","0","adult","Miss",1
213,"0",3,"male",22,0,0,"A/5 21174",7.25,"","S","train","0","jove","Mr",1
214,"0",2,"male",30,0,0,"250646",13,"","S","train","0","jove","Mr",1
215,"0",3,"male",28,1,0,"367229",7.75,"","Q","train","0","jove","Mr",2
216,"1",1,"female",31,1,0,"35273",113.275,"D36","C","train","1","adult","Miss",2
217,"1",3,"female",27,0,0,"STON/O2. 3101283",7.925,"","S","train","0","jove","Miss",1
218,"0",2,"male",42,1,0,"243847",27,"","S","train","0","adult-gran","Mr",2
219,"1",1,"female",32,0,0,"11813",76.2917,"D15","C","train","1","adult","Miss",1
220,"0",2,"male",30,0,0,"W/C 14208",10.5,"","S","train","0","jove","Mr",1
221,"1",3,"male",16,0,0,"SOTON/OQ 392089",8.05,"","S","train","0","nen","Mr",1
222,"0",2,"male",27,0,0,"220367",13,"","S","train","0","jove","Mr",1
223,"0",3,"male",51,0,0,"21440",8.05,"","S","train","0","adult-gran","Mr",1
224,"0",3,"male",28,0,0,"349234",7.8958,"","S","train","0","jove","Mr",1
225,"1",1,"male",38,1,0,"19943",90,"C93","S","train","1","adult","Mr",2
226,"0",3,"male",22,0,0,"PP 4348",9.35,"","S","train","0","jove","Mr",1
227,"1",2,"male",19,0,0,"SW/PP 751",10.5,"","S","train","0","nen","Mr",1
228,"0",3,"male",20.5,0,0,"A/5 21173",7.25,"","S","train","0","jove","Mr",1
229,"0",2,"male",18,0,0,"236171",13,"","S","train","0","nen","Mr",1
230,"0",3,"female",28,3,1,"4133",25.4667,"","S","train","0","jove","Miss",5
231,"1",1,"female",35,1,0,"36973",83.475,"C83","S","train","1","adult","Mrs",2
232,"0",3,"male",29,0,0,"347067",7.775,"","S","train","0","jove","Mr",1
233,"0",2,"male",59,0,0,"237442",13.5,"","S","train","0","gran","Mr",1
234,"1",3,"female",5,4,2,"347077",31.3875,"","S","train","0","nen","Miss",7
235,"0",2,"male",24,0,0,"C.A. 29566",10.5,"","S","train","0","jove","Mr",1
236,"0",3,"female",28,0,0,"W./C. 6609",7.55,"","S","train","0","jove","Miss",1
237,"0",2,"male",44,1,0,"26707",26,"","S","train","0","adult-gran","Mr",2
238,"1",2,"female",8,0,2,"C.A. 31921",26.25,"","S","train","0","nen","Miss",3
239,"0",2,"male",19,0,0,"28665",10.5,"","S","train","0","nen","Mr",1
240,"0",2,"male",33,0,0,"SCO/W 1585",12.275,"","S","train","0","adult","Mr",1
241,"0",3,"female",28,1,0,"2665",14.4542,"","C","train","0","jove","Miss",2
242,"1",3,"female",28,1,0,"367230",15.5,"","Q","train","0","jove","Miss",2
243,"0",2,"male",29,0,0,"W./C. 14263",10.5,"","S","train","0","jove","Mr",1
244,"0",3,"male",22,0,0,"STON/O 2. 3101275",7.125,"","S","train","0","jove","Mr",1
245,"0",3,"male",30,0,0,"2694",7.225,"","C","train","0","jove","Mr",1
246,"0",1,"male",44,2,0,"19928",90,"C78","Q","train","1","adult-gran","Special",3
247,"0",3,"female",25,0,0,"347071",7.775,"","S","train","0","jove","Miss",1
248,"1",2,"female",24,0,2,"250649",14.5,"","S","train","0","jove","Mrs",3
249,"1",1,"male",37,1,1,"11751",52.5542,"D35","S","train","1","adult","Mr",3
250,"0",2,"male",54,1,0,"244252",26,"","S","train","0","gran","Special",2
251,"0",3,"male",28,0,0,"362316",7.25,"","S","train","0","jove","Mr",1
252,"0",3,"female",29,1,1,"347054",10.4625,"G6","S","train","1","jove","Mrs",3
253,"0",1,"male",62,0,0,"113514",26.55,"C87","S","train","1","gran","Mr",1
254,"0",3,"male",30,1,0,"A/5. 3336",16.1,"","S","train","0","jove","Mr",2
255,"0",3,"female",41,0,2,"370129",20.2125,"","S","train","0","adult-gran","Mrs",3
256,"1",3,"female",29,0,2,"2650",15.2458,"","C","train","0","jove","Mrs",3
257,"1",1,"female",28,0,0,"PC 17585",79.2,"","C","train","0","jove","Mrs",1
258,"1",1,"female",30,0,0,"110152",86.5,"B77","S","train","1","jove","Miss",1
259,"1",1,"female",35,0,0,"PC 17755",512.3292,"","C","train","0","adult","Miss",1
260,"1",2,"female",50,0,1,"230433",26,"","S","train","0","adult-gran","Mrs",2
